Classes;Accuracy;Precision;Recall;F1_score
Perfect;0.9333333333333333;0.8461538461538461;0.8461538461538461;0.8461538461538461
Good;0.8888888888888888;0.6;0.6923076923076923;0.6428571428571429
Mediocre;0.9529411764705882;0.7333333333333333;1.0;0.846153846153846
Bad;0.9444444444444444;0.8148148148148148;1.0;0.8979591836734693
