Classes;Accuracy;Precision;Recall;F1_score
Perfect;0.9807692307692307;1.0;1.0;1.0
Good;0.9807692307692307;1.0;0.8461538461538461;0.9166666666666666
Mediocre;1.0;1.0;1.0;1.0
Bad;1.0;1.0;1.0;1.0
