Classes;Accuracy;Precision;Recall;F1_score
Perfect;1.0;1.0;1.0;1.0
Good;0.9764705882352941;0.8;1.0;0.888888888888889
Mediocre;0.9058823529411765;0.6842105263157895;0.8666666666666667;0.7647058823529413
Bad;0.9294117647058824;1.0;0.7777777777777778;0.8750000000000001
