Classes;Accuracy;Precision;Recall;F1_score
Perfect;0.9310344827586207;0.8461538461538461;0.8461538461538461;0.8461538461538461
Good;0.8045977011494253;0.25;0.15384615384615385;0.1904761904761905
Mediocre;0.8493150684931506;0.15384615384615385;1.0;0.2666666666666667
Bad;0.8390804597701149;0.5757575757575758;1.0;0.7307692307692308
