Classes;Accuracy;Precision;Recall;F1_score
Perfect;0.8653846153846154;1.0;1.0;1.0
Good;0.7884615384615384;0.0;0.0;0
Mediocre;0.875;0.6666666666666666;0.375;0.4800000000000001
Bad;0.9711538461538461;1.0;0.9166666666666666;0.9565217391304348
