Id;Gesture;Precision;Recall;F1_score;Support
52;fist;0.93;1.0;0.96;76.0
52;l;1.0;1.0;1.0;75.0
52;palm;1.0;0.92;0.96;75.0
53;fist;0.93;1.0;0.96;76.0
53;l;1.0;1.0;1.0;75.0
53;palm;1.0;0.92;0.96;75.0
54;fist;0.0;0.0;0.0;76.0
54;l;0.34;1.0;0.51;75.0
54;palm;1.0;0.05;0.1;75.0
55;fist;0.0;0.0;0.0;76.0
55;l;0.0;0.0;0.0;75.0
55;palm;0.33;1.0;0.5;75.0
56;fist;0.31;0.68;0.43;76.0
56;l;0.0;0.0;0.0;75.0
56;palm;0.42;0.33;0.37;75.0
57;fist;0.0;0.0;0.0;76.0
57;l;0.33;1.0;0.5;75.0
57;palm;0.0;0.0;0.0;75.0
58;fist;0.46;1.0;0.63;76.0
58;l;0.85;0.69;0.76;75.0
58;palm;0.0;0.0;0.0;75.0
59;fist;0.0;0.0;0.0;76.0
59;l;0.33;1.0;0.5;75.0
59;palm;0.0;0.0;0.0;75.0
60;fist;0.5;0.7;0.58;76.0
60;l;0.41;0.65;0.51;75.0
60;palm;0.0;0.0;0.0;75.0
61;fist;0.96;1.0;0.98;76.0
61;l;1.0;1.0;1.0;75.0
61;palm;1.0;0.96;0.98;75.0
62;fist;0.93;1.0;0.96;76.0
62;l;1.0;1.0;1.0;75.0
62;palm;1.0;0.92;0.96;75.0
63;fist;0.37;1.0;0.54;76.0
63;l;0.0;0.0;0.0;75.0
63;palm;1.0;0.29;0.45;75.0
64;fist;0.0;0.0;0.0;76.0
64;l;0.33;1.0;0.5;75.0
64;palm;0.0;0.0;0.0;75.0
65;fist;0.0;0.0;0.0;76.0
65;l;0.33;1.0;0.5;75.0
65;palm;0.0;0.0;0.0;75.0
66;fist;0.0;0.0;0.0;76.0
66;l;0.0;0.0;0.0;75.0
66;palm;0.33;1.0;0.5;75.0
67;fist;0.0;0.0;0.0;76.0
67;l;0.33;1.0;0.5;75.0
67;palm;0.0;0.0;0.0;75.0
68;fist;0.0;0.0;0.0;76.0
68;l;0.0;0.0;0.0;75.0
68;palm;0.33;1.0;0.5;75.0
69;fist;0.34;0.7;0.46;76.0
69;l;0.0;0.0;0.0;75.0
69;palm;0.16;0.15;0.15;75.0
70;fist;0.0;0.0;0.0;76.0
70;l;0.6;0.84;0.7;75.0
70;palm;0.35;0.56;0.43;75.0
71;fist;0.95;1.0;0.97;76.0
71;l;0.97;1.0;0.99;75.0
71;palm;1.0;0.92;0.96;75.0
72;fist;0.94;1.0;0.97;76.0
72;l;1.0;1.0;1.0;75.0
72;palm;1.0;0.93;0.97;75.0
73;fist;0.34;1.0;0.5;76.0
73;l;0.0;0.0;0.0;75.0
73;palm;0.0;0.0;0.0;75.0
74;fist;0.08;0.09;0.09;76.0
74;l;0.0;0.0;0.0;75.0
74;palm;0.18;0.35;0.24;75.0
75;fist;0.34;1.0;0.5;76.0
75;l;0.0;0.0;0.0;75.0
75;palm;0.0;0.0;0.0;75.0
76;fist;1.0;1.0;1.0;76.0
76;l;1.0;1.0;1.0;75.0
76;palm;1.0;1.0;1.0;75.0
77;fist;1.0;1.0;1.0;76.0
77;l;1.0;1.0;1.0;75.0
77;palm;1.0;1.0;1.0;75.0
78;fist;0.0;0.0;0.0;76.0
78;l;0.0;0.0;0.0;75.0
78;palm;0.33;1.0;0.5;75.0
79;fist;0.36;0.36;0.36;76.0
79;l;0.0;0.0;0.0;75.0
79;palm;0.36;0.72;0.48;75.0
80;fist;0.42;0.64;0.51;76.0
80;l;0.03;0.04;0.04;75.0
80;palm;0.36;0.07;0.11;75.0
81;fist;0.94;1.0;0.97;76.0
81;l;0.84;1.0;0.91;75.0
81;palm;1.0;0.75;0.85;75.0
82;fist;0.94;1.0;0.97;76.0
82;l;1.0;1.0;1.0;75.0
82;palm;1.0;0.93;0.97;75.0
83;fist;0.0;0.0;0.0;76.0
83;l;0.0;0.0;0.0;75.0
83;palm;0.33;1.0;0.5;75.0
84;fist;0.0;0.0;0.0;76.0
84;l;0.0;0.0;0.0;75.0
84;palm;0.33;1.0;0.5;75.0
85;fist;0.0;0.0;0.0;76.0
85;l;0.42;0.73;0.53;75.0
85;palm;0.31;0.39;0.34;75.0
86;fist;0.99;1.0;0.99;76.0
86;l;1.0;1.0;1.0;75.0
86;palm;1.0;0.99;0.99;75.0
87;fist;0.99;1.0;0.99;76.0
87;l;1.0;1.0;1.0;75.0
87;palm;1.0;0.99;0.99;75.0
88;fist;0.0;0.0;0.0;76.0
88;l;0.0;0.0;0.0;75.0
88;palm;0.33;1.0;0.5;75.0
89;fist;0.34;1.0;0.5;76.0
89;l;0.0;0.0;0.0;75.0
89;palm;0.0;0.0;0.0;75.0
90;fist;0.0;0.0;0.0;76.0
90;l;0.33;1.0;0.5;75.0
90;palm;0.0;0.0;0.0;75.0
91;fist;0.99;1.0;0.99;76.0
91;l;1.0;1.0;1.0;75.0
91;palm;1.0;0.99;0.99;75.0
92;fist;0.99;1.0;0.99;76.0
92;l;1.0;1.0;1.0;75.0
92;palm;1.0;0.99;0.99;75.0
93;fist;0.0;0.0;0.0;76.0
93;l;0.0;0.0;0.0;75.0
93;palm;0.33;1.0;0.5;75.0
94;fist;0.0;0.0;0.0;76.0
94;l;0.0;0.0;0.0;75.0
94;palm;0.33;1.0;0.5;75.0
95;fist;0.0;0.0;0.0;76.0
95;l;0.89;0.21;0.34;75.0
95;palm;0.35;0.97;0.52;75.0
96;fist;0.99;1.0;0.99;76.0
96;l;1.0;1.0;1.0;75.0
96;palm;1.0;0.99;0.99;75.0
97;fist;1.0;1.0;1.0;76.0
97;l;1.0;1.0;1.0;75.0
97;palm;1.0;1.0;1.0;75.0
98;fist;0.0;0.0;0.0;76.0
98;l;0.0;0.0;0.0;75.0
98;palm;0.33;1.0;0.5;75.0
99;fist;0.46;0.59;0.52;76.0
99;l;0.0;0.0;0.0;75.0
99;palm;0.38;0.64;0.47;75.0
100;fist;0.69;0.64;0.67;76.0
100;l;0.36;0.75;0.49;75.0
100;palm;0.0;0.0;0.0;75.0
101;fist;0.89;0.93;0.91;75.0
101;l;1.0;0.64;0.78;75.0
101;ok;1.0;0.32;0.48;75.0
101;palm;0.42;1.0;0.59;75.0
101;thumb_up;1.0;0.6;0.75;75.0
102;fist;1.0;0.81;0.9;75.0
102;l;1.0;0.4;0.57;75.0
102;ok;0.3;0.11;0.16;75.0
102;palm;0.33;1.0;0.49;75.0
