Ranking
23
24
25
26
28
29
44
45
47
48
52
54
55
60
62
63
69
70
77
78
84
91
99
85
92
93
103
94
98
104
96
61
97
75
53
90
27
76
68
89
67
22
83
82
19
17
102
21
4
101
3
18
46
20
5
6
95
13
2
12
1
74
59
11
100
88
51
66
81
57
58
72
73
49
86
50
79
65
16
87
64
34
39
80
41
40
37
