Id;Precision;Recall;F1_score
57;0.824;0.498;0.484
Id;Precision;Recall;F1_score
58;0.776;0.55;0.484
Id;Precision;Recall;F1_score
59;0.814;0.692;0.666
Id;Precision;Recall;F1_score
60;1.0;1.0;1.0
Id;Precision;Recall;F1_score
61;0.998;0.998;0.996
Id;Precision;Recall;F1_score
62;1.0;1.0;1.0
Id;Precision;Recall;F1_score
63;1.0;1.0;1.0
Id;Precision;Recall;F1_score
64;0.7775;0.37875;0.34375
Id;Precision;Recall;F1_score
65;0.60125;0.41125;0.375
Id;Precision;Recall;F1_score
66;0.755;0.5575;0.53875
Id;Precision;Recall;F1_score
67;0.9525;0.9475;0.94875
Id;Precision;Recall;F1_score
68;0.9725;0.97;0.9675
Id;Precision;Recall;F1_score
69;1.0;1.0;1.0
Id;Precision;Recall;F1_score
70;1.0;1.0;1.0
Id;Precision;Recall;F1_score
71;0.28750000000000003;0.27875;0.25375
Id;Precision;Recall;F1_score
72;0.78125;0.50875;0.4575
Id;Precision;Recall;F1_score
73;0.805;0.46875;0.44625000000000004
Id;Precision;Recall;F1_score
74;0.8125;0.6925;0.675
Id;Precision;Recall;F1_score
75;0.995;0.995;0.9924999999999999
Id;Precision;Recall;F1_score
76;0.97875;0.97625;0.975
Id;Precision;Recall;F1_score
77;1.0;1.0;1.0
Id;Precision;Recall;F1_score
78;1.0;1.0;1.0
Id;Precision;Recall;F1_score
79;0.632;0.42;0.376
Id;Precision;Recall;F1_score
80;0.71;0.33099999999999996;0.275
Id;Precision;Recall;F1_score
81;0.724;0.521;0.491
Id;Precision;Recall;F1_score
82;0.9159999999999999;0.904;0.902
Id;Precision;Recall;F1_score
83;0.923;0.908;0.91
Id;Precision;Recall;F1_score
84;1.0;1.0;1.0
Id;Precision;Recall;F1_score
85;0.999;0.999;0.998
Id;Precision;Recall;F1_score
86;0.769;0.457;0.41300000000000003
Id;Precision;Recall;F1_score
87;0.645;0.392;0.344
Id;Precision;Recall;F1_score
88;0.771;0.583;0.5720000000000001
Id;Precision;Recall;F1_score
89;0.9369999999999999;0.976;0.949
Id;Precision;Recall;F1_score
90;0.991;0.99;0.988
Id;Precision;Recall;F1_score
91;1.0;1.0;1.0
Id;Precision;Recall;F1_score
92;0.999;0.999;0.998
Id;Precision;Recall;F1_score
93;0.997;0.997;0.998
Id;Precision;Recall;F1_score
94;0.996;0.996;0.998
Id;Precision;Recall;F1_score
95;0.75;0.73;0.731
Id;Precision;Recall;F1_score
96;0.996;0.997;0.997
Id;Precision;Recall;F1_score
97;0.996;0.996;0.996
Id;Precision;Recall;F1_score
98;0.996;0.996;0.998
Id;Precision;Recall;F1_score
99;1.0;1.0;0.999
Id;Precision;Recall;F1_score
100;0.626;0.615;0.606
Id;Precision;Recall;F1_score
101;0.829;0.82;0.819
Id;Precision;Recall;F1_score
102;0.865;0.857;0.857
Id;Precision;Recall;F1_score
103;0.997;0.997;0.998
Id;Precision;Recall;F1_score
104;0.997;0.996;0.997
Id;Precision;Recall;F1_score
1;0.8233333333333334;0.7266666666666667;0.69
Id;Precision;Recall;F1_score
2;0.7533333333333333;0.72;0.7233333333333334
Id;Precision;Recall;F1_score
3;0.8233333333333334;0.81;0.8066666666666666
Id;Precision;Recall;F1_score
4;0.84;0.82;0.8266666666666667
Id;Precision;Recall;F1_score
5;0.7933333333333333;0.7733333333333333;0.7666666666666667
Id;Precision;Recall;F1_score
6;0.7933333333333333;0.76;0.7466666666666667
Id;Precision;Recall;F1_score
7;0.10666666666666667;0.2533333333333333;0.14666666666666667
Id;Precision;Recall;F1_score
8;0.22;0.32;0.25666666666666665
Id;Precision;Recall;F1_score
9;0.13666666666666666;0.3333333333333333;0.19333333333333333
Id;Precision;Recall;F1_score
10;0.10333333333333333;0.3333333333333333;0.16
Id;Precision;Recall;F1_score
11;0.7633333333333333;0.65;0.61
Id;Precision;Recall;F1_score
